from,to
!,i have a comment
#,hashtag
#-o,doh!
#name?,frustrated
$#!+,shit
$$,money
$46ê,money for sex
$_$,greedy
$h!t,shit
$xy,sexy
%3fu@,where are you?
(*v*),bird
(-:,left-handed smiley face
(-}{-),kissing
(.v.),alien
)-:,left-handed sad face
*$,starbucks
*****you,fuck you
****head,fuckhead
****in,fuck
****ing,fuck
****you,fuck you
***holes,assholes
***ing,fuck
***k,fuck
**//,wink wink
*-*,dazed
*4u,kiss for you
*67,unknown
*<:o),clown
*eg*,evil grin
*g*,grin
*if,milf
*s*,smile
*ssh*l*,assholes
*uck,fuck
*ucking,fuck
",!!!!",talk to the hand
/.,slashdot
//_^,emo
07734,hello
0day,software illegally obtained before it was released
0noe,oh no
0vr,over
10q,thank you
10tacle,tentacle
10x,thanks
1174,nude club
121,one to one
12b,wannabe
1337,elite
133t,elite
13itch,bitch
14,fourteen words
143,i love you
1432,i love you too
14aa41,one for all and all for one
182,i hate you
187,murder
19,0 hand
1ab,wannabe
1daful,wonderful
1dering,wondering
1nce,once
1sec,one second
2,too
20,location
24/7,"twenty-four hours a day, seven days a week"
2b,to be
2b or not 2b,to be or not to be
2b4u,too bad for you
2b@,to be at
2bad4u2,too bad for you too
2bh,to be honest
2bz4uqt,too busy for you cutey
2b~not2b,to be or not to be
2d4,to die for
2da,to the
2dae,today
2day,today
2ditd,today is the day
2dloo,toodle oo
2ez,too easy
2f4u,too fast for you
2g2b4g,to good to be forgotten
2g2bt,too good to be true
2ge4,together
2getha,together
2gether,together
2gethr,together
2getr,together
2h2h,too hot to handle
2h4u,too hot for you
2k0,2000
2k1,2001
2k14,2014
2k2,2002
2k3,2003
2k4,2004
2k5,2005
2k6,2006
2k7,2007
2k8,2008
2k9,2009
2l8,too late
2m,tomorrow
2m2h,too much to handle
2m4u,too much for you
2ma,tomorrow
2maro,tomorrow
2mmrw,tomorrow
2mo,tomorrow
2mora,tomorrow
2moro,tomorrow
2morow,tomorrow
2morro,tomorrow
2morrow,tommorrow
2moz,tomorrow
2mozz,tomorrow
2mro,tomorrow
2mrw,tomorrow
2mw,tomorrow
2mz,tomorrow
2night,tonight
2nite,tonight
2nyt,tonight
2o4s,too old for sex
2qt,too cute
2sday,tuesday
2tali,totally
2tm,to the max
2trd,too tired
2u2,to you too
301ing,referring traffic to another site
303,mom
304,hoe
31337,elite
313373,elite
31ee7,elite
3arc,treyarch
3q,thank you
3u,thank you
3vi1,evil
3y3 y4m,i am
4,for
404,clueless
411,information
420,marijuana
42n8,fortunate
4311,hell
459,i love you
4ax0r,hacker
4col,for crying out loud
4e,forever
4e&e,forever and ever
4eae,for ever and ever
4eva,forever
4ever,forever
4evr,for ever
4evs,forever
4fs,for fuck sake
4g8,forget
4gai,forget about it
4geit,forget it
4get,forget
4getu,forget you
4give,forgive
4got,forgot
4gv,forgive
4head,forehead
4hoa,four horsemen of the apocalypse
4ker,fuck
4king,fuck
4lyf3,for life
4lyfe,for life
4m,form
4n,phone
4nr,foreigner
4q,fuck you
4r3al,for real
4rm,from
4sho,for sure
4tlog,for the love of god
4tw,for the win
4u,for you
4umb,for you maybe
4us,for us
4ward,forward
4wd,forward
4yeo,for your eyes only
5-oh,cop
511,too much information
53x,sex
5fs,5 finger salute
5h17,shit
5n,fine
5o,police
5uck,fuck
6flx,x-rated movie (sex flick)
6up,cops in area
6y,sexy
747,lets fly
7734,hell
7p,prior proper planning prevents piss poor performance
7uck,fuck
8,ate
8-#,zombie
8-),glasses
8008,boob
8008135,boobies
80085,boobs
81tc#,bitch
831,i love you
86,to get rid of
88,hugs and kisses
8l3w,eight letters three words i love you
8t,it
9,parent is watching
9009l3,google
911sc,emergency let's stop chatting
99,parent is no longer watching
9t,night
:'(,crying
:(,frown
:),happy
:)book,facebook
:*,kiss
:*),drunk
:-#,braces
:-&,tongue tied
:-(,frown
:-),happy
:-)(-:,married
:-)*,kiss
:-*,kiss
:-/,perplexed
:->,grin
:-@,screaming
:-\,undecided
:-b,nerd
:-d,big grin
:-e,vampire
:-j,tongue in cheek
:-o,shocked
:-p,frustrated
:-q,smoking
:-|,indifferent
::poof::,im gone
:>,smug
:_(,crying
:o,surprised
:o3,dog
:p,sticking tongue out
:s,sarcastic
;),winking
;-),winking
</3,broken heart
<3,heart
<:3)~,mouse
<><,fish
<l:0,partying
=(,sad
=),happy
=/,mad
=8),pig
=^.^=,cat
>3,love
>:),evil grin
?,i have a question
?4u,question for you
?^,what's up?
?u@,where are you?
?up,what's up?
@,mention
@$$,ass
@$$ #013,ass hole
@$$hole,asshole
@+,french equivalent of cul8r
@h,asshole
@teotd,at the end of the day
@~)~~~~,rose
[emailâ protected],that
\:d/,dancing
\m/,heavy metal music
^,up
^5,high five
^^&>,up up and away
^_^,overjoyed
^rup^,read up please
^urs,up yours
a$$,ass
a&f,always and forever
a'ight,alright
a*,assholes
a.i.m.,aol instant messanger
a.k.a.,also known as
a/l,age and location
a/m,away message
a/n,authors note
a/s/l,"age,sex,location"
a/s/l/p,age/sex/location/picture
a/s/l/r,"age, sex, location, race"
a1t,anyone there
a2d,agree to disagree
a3,"anyplace, anywhere, anytime"
a4u,all for you
aaaaa,american assosciation against acronym abuse
aabf,as a best friend
aaf,as a friend
aak,alive and kicking
aamof,as a matter of fact
aamoi,as a matter of interest
aaq,assumed asinine question
aar,at any rate
aar8,at any rate
aas,alive and smiling
aatf,always and totally forever
aatk,always at the keyboard
aatw,all around the world
aayf,as always
ab,ass backwards
ab/abt,about
abc,already been chewed
abd,already been done
abend,absent by enforced net deprivation
abft,about fuck time
abithiwtitb,a bird in the hand is worth two in the bush
abk,always be knolling
aboot,about
abreev,abbreviation
absnt,absent
abt,about
abt2,about to
abwt,about
acc,account
acct,account
acd,alt control delete
ace,access control entry
acgaf,absolutely couldn't give a fuck
ack,acknowledged
acorn,a completely obsessive really nutty person
acronym,meaning
adad,another day another dollar
adbb,all done bye bye
add,address
addy,address
adhd,attention deficit hyperactivity disorder
adidas,all day i dream about sex
adih,another day in hell
adip,another day in paradise
adl,all day long
adm,aye dios mio
admin,administrator
adn,any day now
adr,address
advd,advised
aeap,as early as possible
af,assface
afagay,a friend as good as you
afahmasp,a fool and his money are soon parted
afaiaa,as far as i am aware
afaic,as far as i'm concerned
afaicr,as far as i can remember
afaicr4,as far as i can remember for
afaics,as far as i can see
afaict,as far as i can tell
afaik,as far as i know
afair,as far as i recall
afaiu,as far as i understand
afaiui,as far as i understand it
afap,as far as possible
afayc,as far as youre concerned
afc,away from computer
afcpmgo,away from computer parents may go on
afdn,any fuck day now
afg,away from game
afgo,another fucking growth opportunity
afiaa,as far as i am aware
afiniafi,a friend in need is a friend indeed
afj,april fools joke
afk,away from keyboard
afkb,away from keyboard
afpoe,a fresh pair of eyes
aft,about fuckitime
afu,all fucked up
afw,away from window
afz,acronym free zone
agb,almost good bridge
agkwe,and god knows what else
agn,again
ah,ass hole
ahole,asshole
ai,artificial intelligence
aiadw,all in a days work
aiamu,and i'm a monkey's uncle
aicmfp,and i claim my five pounds
aight,alright
aightz,alright
aih,as it happens
aiic,as if i care
aiid,and if i did
aiight,all right
aim,aol instant messenger
aimb,as i mentioned before
aimmc,am i making myself clear
aimp,always in my prayers
ain't,am not
aisb,as it should beas i said before
aise,as i said earlier
aisi,as i see it
aite,alright
aitr,adult in the room
aiui,as i understand it
aiws,as i was saying
ajax,asynchronous javascript and xml
aka,also known as
akp,alexander king project
akpcep,alexander king project cultural engineering project
alap,as late as possible
alaylm,as long as you love me
alaytm,as long as you tell me
alcon,all concerned
alol,actually laughing out loud
alot,a lot
alotbsol,always look on the bright side of life
alright,all right
alrite,alright
alrt,alright
alryt,alright
altg,act locally
alw,aint life wonderful
am,antemeridian
ama,ask me anything
amap,as many as possible
ambw,all my best wishes
amf,adios motherfucker
amiic,ask me if i care
amiigaf,ask me if i give a fuck
aml,all my love
amrmtyfts,all my roommates thank you for the show
ams,ask me something
amsp,ask me something personal
and,any day now
anfawfos,and now for a word from our sponsor
anfscd,and now for something completely different
angb,almost nearly good bridge
anim8,animate
anl,all night long
anlsx,anal sex
anon,anonymous
anuda,another
anw,anyways
anwwi,alright now where was i
any1,anyone
anywaz,anyways
aoas,all of a sudden
aob,any other business
aoc,age of consent
aoe,age of empires
aol,america online
aon,all or nothing
aor,agency on record
aos,adult over shoulder
aota,all of the above
aoto,amen on that one
aoyp,angel on your pillow
aoys,angel on your shoulder
ap,apple pie
apac,asiapacific
api,application program interface
apoc,apocalypse
apod,another point of discussion
app,application
appt,appointment
aprece8,appreciate
apreci8,appreciate
apu,as per usual
aqap,as quick as possible
ar,are
arnd,around
arse,ass
arsed,bothered
arvo,afternoon
as,ape shit
asafp,as soon as fuck possible
asaik,as soon as i know
asamof,as a matter of fact
asap,as soon as possible
asarbambtaa,all submissions are reviewed by a moderator before they are added.
asaygt,as soon as you get this
asbmaetp,acronyms should be memorable and easy to pronounce
ase,"age, sex, ethnicity"
asf,and so forth
ashl,asshole
ashole,asshole
asic,application specific integrated circuit
asl,"age, sex, location"
aslmh,age sex location music hobbies
asln,"age, sex, location, name"
aslo,age sex location orientation
aslop,age sex location orientation picture
aslp,"age, sex, location, picture"
aslr,age sex location race
aslrp,"age, sex, location, race, picture"
asr,age sex race
asshle,asshole
atab,aint that a bitch
atb,all the best
atc,any two cards
atfp,answer the fuck phone
atl,atlanta
atm,at the moment
ato,against the odds
atop,at time of posting
atp,answer the phone
atq,answer the question
atsl,along the same line
atst,at the same time
attn,attention
attotp,at the time of this post
atw,all the way
atwd,agree that we disagree
aty,according to you
audy,are you done yet?
aufm,are you fuck mental
aufsm,are you fuck shiting me
aunt,and u know this
auntm,and u know this man
aup,acceptable use policy
aupi,and your point is
av7x,avenged sevenfold
avgn,angry video game nerd
avie,avatar
